Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,418650474,5371.073273315,13540548,173.71836409013332,1963747,5856224,75.13238408263658,67710,0.8686849625689407,11413,
United States of America,Americas,77521589,23420.232,871794,263.38,108409,921984,278.543,15390,4.65,3424
India,South-East Asia,42780235,3100.007,244098,17.688,25920,510905,37.022,3728,0.27,492
Brazil,Americas,27806786,13081.889,851352,400.524,147734,640774,301.456,5700,2.682,1085
France,Europe,21436445,32959.189,669628,1029.573,92259,133169,204.751,1831,2.815,286
The United Kingdom,Europe,18499062,27250.185,336859,496.213,51352,160221,236.015,1063,1.566,183
Russian Federation,Europe,15020573,10292.684,1288779,883.122,180071,343957,235.693,5144,3.525,784
Turkey,Europe,13265374,15728.623,612989,726.815,92406,91646,108.664,1905,2.259,258
Germany,Europe,13255989,15939.056,1246277,1498.529,220048,120992,145.481,1313,1.579,264
Italy,Europe,12323398,20662.459,399767,670.283,58055,152282,255.329,2061,3.456,320
Spain,Europe,10778607,22772.051,166086,350.891,15441,97710,206.433,645,1.363,27
Argentina,Americas,8799858,19470.533,124531,275.537,16650,124924,276.406,1480,3.275,159
Iran (Islamic Republic of),Eastern Mediterranean,6894110,8207.963,163502,194.662,17545,134420,160.037,1126,1.341,182
Colombia,Americas,6031130,11852.963,36829,72.38,4142,137586,270.397,1182,2.323,147
Netherlands,Europe,5963238,34256.55,439828,2526.646,56390,21449,123.216,92,0.529,18
Poland,Europe,5519282,14540.445,171100,450.76,23967,109509,288.499,1752,4.616,304
Mexico,Americas,5344840,4145.448,62091,48.158,23096,314128,243.637,1652,1.281,520
Indonesia,South-East Asia,5089637,1860.767,381594,139.51,59635,146044,53.394,1086,0.397,216
Ukraine,Europe,4672198,10683.276,209228,478.413,34938,104106,238.045,1703,3.894,282
Japan,Western Pacific,4241800,3353.826,575515,455.037,95603,21198,16.76,1281,1.013,244
South Africa,Africa,3648968,6152.501,14157,23.87,0,97520,164.428,815,1.374,0
Philippines,Western Pacific,3646793,3327.94,19944,18.2,2196,55330,50.492,547,0.499,107
Israel,Europe,3515918,40620.43,152815,1765.516,15297,9800,113.222,231,2.669,9
Belgium,Europe,3484518,30241.147,57989,503.27,11,29886,259.372,249,2.161,7
Czechia,Europe,3483932,32578.566,120482,1126.638,15517,38106,356.333,341,3.189,26
Peru,Americas,3466309,10512.933,68672,208.275,9520,208789,633.234,1253,3.8,167
Canada,Americas,3217184,8524.113,57167,151.467,8016,35787,94.82,669,1.773,108
Portugal,Europe,3148387,30579.01,122966,1194.319,16488,20708,201.128,307,2.982,42
Malaysia,Western Pacific,3138215,9696.024,162793,502.975,26701,32240,99.611,165,0.51,39
Chile,Americas,2747552,14372.898,243384,1273.182,37698,40936,214.143,663,3.468,201
Thailand,South-East Asia,2674477,3831.63,113362,162.41,18066,22565,32.328,178,0.255,27
Viet Nam,Western Pacific,2643024,2715.289,212341,218.147,36200,39278,40.352,590,0.606,90
Switzerland,Europe,2636961,30468.832,101865,1177.002,75,12538,144.871,47,0.543,0
Australia,Western Pacific,2634178,10330.157,175020,686.356,27989,4798,18.816,367,1.439,66
Romania,Europe,2629090,13601.904,120230,622.024,15374,62188,321.737,957,4.951,125
Denmark,Europe,2483399,42649.838,286843,4926.235,40600,4207,72.251,230,3.95,44
Sweden,Europe,2418560,23418.438,28666,277.567,3958,16768,162.361,107,1.036,0
Austria,Europe,2407407,27046.283,206743,2322.677,29789,13956,156.79,165,1.854,23
Iraq,Eastern Mediterranean,2286451,5684.508,18706,46.506,2246,24824,61.717,198,0.492,32
Greece,Europe,2255421,21042.192,126268,1178.031,19501,25095,234.126,588,5.486,94
Bangladesh,South-East Asia,1929154,1171.389,29351,17.822,2584,28931,17.567,160,0.097,24
Serbia,Europe,1867836,26965.722,50629,730.925,6423,14666,211.731,432,6.237,55
Republic of Korea,Western Pacific,1755806,3424.681,516519,1007.465,109831,7283,14.205,271,0.529,45
Hungary,Europe,1746424,17876.241,50433,516.228,7480,43066,440.82,706,7.227,100
Jordan,Eastern Mediterranean,1526272,14958.855,108382,1062.242,0,13585,133.145,154,1.509,0
Georgia,Europe,1526205,38258.663,108178,2711.789,14405,15771,395.345,312,7.821,42
Pakistan,Eastern Mediterranean,1494293,676.48,20218,9.153,2870,29917,13.544,269,0.122,40
Kazakhstan,Europe,1384378,7372.848,11331,60.346,1412,18851,100.396,115,0.612,15
Slovakia,Europe,1324503,24267.75,117450,2151.937,17536,18201,333.482,137,2.51,22
Ireland,Europe,1260329,25387.133,36622,737.686,5035,6402,128.957,111,2.236,3
Morocco,Eastern Mediterranean,1157001,3134.607,4587,12.427,0,15833,42.896,106,0.287,0
Norway,Europe,1098241,20460.636,112332,2092.787,16168,1548,28.84,35,0.652,0
Cuba,Americas,1063481,9389.221,5684,50.183,733,8482,74.886,28,0.247,5
Bulgaria,Europe,1059192,15236.924,34063,490.011,4626,34884,501.821,656,9.437,105
Croatia,Europe,1032033,25431.026,27229,670.968,4461,14679,361.715,350,8.625,47
Lebanon,Eastern Mediterranean,1029998,15090.562,30843,451.883,0,9890,144.899,101,1.48,0
Nepal,South-East Asia,975132,3346.736,2991,10.265,275,11913,40.886,35,0.12,2
Tunisia,Eastern Mediterranean,974214,8243.044,15665,132.545,0,27295,230.949,354,2.995,0
Mongolia,Western Pacific,893721,27261.804,16984,518.075,0,2080,63.448,15,0.458,0
Bolivia (Plurinational State of),Americas,887089,7599.481,8167,69.965,0,21342,182.832,123,1.054,0
United Arab Emirates,Eastern Mediterranean,872210,8818.752,8108,81.978,895,2290,23.154,12,0.121,1
Slovenia,Europe,868142,41421.736,39296,1874.933,4545,6713,320.298,49,2.338,3
Belarus,Europe,859884,9099.955,54233,573.935,8248,6313,66.809,109,1.154,18
Lithuania,Europe,847993,30349.523,50501,1807.422,5716,8219,294.157,157,5.619,9
Ecuador,Americas,804348,4559.007,22878,129.671,0,35067,198.758,213,1.207,0
Uruguay,Americas,795316,22895.159,45762,1317.374,6640,6820,196.331,124,3.57,26
Costa Rica,Americas,775318,15219.867,29369,576.528,4291,7847,154.04,117,2.297,18
Azerbaijan,Europe,764202,7537.122,38425,378.976,4449,9157,90.313,185,1.825,30
Panama,Americas,746695,17305.569,11460,265.6,1328,7987,185.108,89,2.063,17
Guatemala,Americas,744754,4157.021,23952,133.694,4743,16679,93.098,137,0.765,18
Saudi Arabia,Eastern Mediterranean,735958,2113.979,13956,40.087,1569,8978,25.789,13,0.037,1
Sri Lanka,South-East Asia,633051,2956.352,7247,33.844,0,15926,74.375,203,0.948,0
Paraguay,Americas,630718,8842.827,14807,207.598,2144,18079,253.472,328,4.599,52
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,627956,12309.45,22609,443.191,2928,5357,105.01,122,2.391,18
Kuwait,Eastern Mediterranean,607952,14235.848,14063,329.3,0,2524,59.102,7,0.164,0
Finland,Europe,605046,10950.48,29063,525.999,334,2277,41.21,2,0.036,0
Dominican Republic,Americas,570889,5262.663,3804,35.067,253,4354,40.137,15,0.138,3
Latvia,Europe,556891,29192.132,68562,3594.008,11595,5073,265.926,86,4.508,12
Myanmar,South-East Asia,556256,1022.345,12745,23.424,0,19319,35.506,9,0.017,0
Singapore,Western Pacific,533425,9117.843,93785,1603.069,18545,930,15.897,48,0.82,4
Venezuela (Bolivarian Republic of),Americas,508968,1789.876,8423,29.621,926,5572,19.595,61,0.215,8
Republic of Moldova,Europe,492604,12211.416,12315,305.283,1853,11068,274.37,175,4.338,27
Libya,Eastern Mediterranean,480945,6999.339,17624,256.487,2457,6169,89.779,62,0.902,13
Bahrain,Eastern Mediterranean,477750,28076.929,29584,1738.625,0,1432,84.157,13,0.764,0
Puerto Rico,Americas,470292,16438.873,3414,119.335,547,4060,141.916,66,2.307,5
Ethiopia,Africa,467860,406.964,707,0.615,0,7429,6.462,22,0.019,0
Egypt,Eastern Mediterranean,461299,450.776,12802,12.51,0,23519,22.982,347,0.339,0
Estonia,Europe,448666,33760.279,38456,2893.656,6725,2152,161.929,52,3.913,4
Armenia,Europe,413295,13947.43,10892,367.571,1417,8278,279.357,133,4.488,25
Honduras,Americas,406872,4107.907,3731,37.669,0,10641,107.435,54,0.545,0
Oman,Eastern Mediterranean,372060,7285.828,11061,216.601,1440,4225,82.736,30,0.587,4
Bosnia and Herzegovina,Europe,367025,11187.007,5836,177.883,575,15232,464.275,294,8.961,70
Qatar,Eastern Mediterranean,352894,12248.785,3970,137.797,447,660,22.908,5,0.174,2
Kenya,Africa,322545,599.846,211,0.392,0,5633,10.476,7,0.013,0
Zambia,Africa,310155,1687.096,1599,8.698,0,3939,21.426,4,0.022,0
Cyprus,Europe,298235,33584.833,14777,1664.067,0,798,89.864,22,2.477,0
North Macedonia,Europe,290915,13963.607,7412,355.768,1117,8851,424.838,137,6.576,14
Réunion,Africa,278494,31105.804,21707,2424.518,0,603,67.351,38,4.244,0
Albania,Europe,269601,9368.302,2581,89.687,300,3432,119.258,30,1.042,2
Algeria,Africa,262994,599.744,2803,6.392,0,6762,15.42,72,0.164,0
Botswana,Africa,260491,11077.054,836,35.55,0,2603,110.689,6,0.255,0
Nigeria,Africa,254137,123.284,262,0.127,0,3141,1.524,2,0.001,0
Uzbekistan,Europe,234872,701.756,2376,7.099,272,1614,4.822,17,0.051,2
Zimbabwe,Africa,232213,1562.364,1173,7.892,0,5379,36.191,6,0.04,0
Montenegro,Europe,227854,36278.902,2576,410.151,376,2644,420.978,22,3.503,3
Mozambique,Africa,224791,719.206,232,0.742,0,2189,7.004,1,0.003,0
Kosovo[1],Europe,224437,12498.817,3554,197.921,411,3076,171.301,24,1.337,5
Kyrgyzstan,Europe,200255,3069.423,365,5.595,41,2939,45.048,19,0.291,2
Luxembourg,Europe,176736,28227.718,4234,676.241,559,982,156.842,14,2.236,3
Afghanistan,Eastern Mediterranean,171673,440.997,2225,5.716,154,7524,19.328,47,0.121,11
China,Western Pacific,164322,11.169,19309,1.312,6271,5726,0.389,23,0.002,11
Maldives,South-East Asia,162974,30149.997,6071,1123.128,0,290,53.65,3,0.555,0
Uganda,Africa,162932,356.206,293,0.641,0,3582,7.831,7,0.015,0
Ghana,Africa,158159,508.993,408,1.313,0,1431,4.605,12,0.039,0
Namibia,Africa,156843,6172.722,280,11.02,0,3995,157.227,7,0.275,0
El Salvador,Americas,147786,2278.466,12677,195.446,0,4027,62.086,52,0.802,8
Lao People's Democratic Republic,Western Pacific,140353,1929.102,2346,32.245,323,602,8.274,18,0.247,0
Rwanda,Africa,129337,998.57,103,0.795,0,1452,11.21,3,0.023,0
Jamaica,Americas,127377,4301.581,788,26.611,83,2769,93.51,61,2.06,14
Cambodia,Western Pacific,124787,746.38,2319,13.87,444,3015,18.033,0,0,0
Trinidad and Tobago,Americas,122093,8724.119,4568,326.405,822,3549,253.593,54,3.859,14
Cameroon,Africa,118675,447.056,0,0,0,1915,7.214,0,0,0
Guadeloupe,Americas,118177,29535.094,0,0,0,889,222.181,0,0,0
Martinique,Americas,107144,28551.557,4398,1171.972,0,859,228.905,3,0.799,0
Iceland,Europe,102086,28035.284,16537,4541.46,2322,58,15.928,4,1.098,0
Angola,Africa,98568,299.906,94,0.286,0,1899,5.778,2,0.006,0
Democratic Republic of the Congo,Africa,85834,95.838,58,0.065,0,1316,1.469,0,0,0
Senegal,Africa,85469,510.448,161,0.962,0,1957,11.688,1,0.006,0
Malawi,Africa,85106,444.883,170,0.889,0,2599,13.586,13,0.068,0
Côte d’Ivoire,Africa,81253,308.03,213,0.807,0,791,2.999,2,0.008,0
Suriname,Americas,77450,13202.485,952,162.282,116,1304,222.286,13,2.216,1
French Guiana,Americas,77414,25918.535,521,174.433,27,386,129.234,3,1.004,1
Mauritius,Africa,70862,5571.928,0,0,0,786,61.804,0,0,0
Malta,Europe,70434,13688.093,786,152.751,109,594,115.438,18,3.498,0
Eswatini,Africa,68900,5938.816,173,14.912,0,1386,119.466,5,0.431,0
Fiji,Western Pacific,63543,7088.332,84,9.37,0,823,91.807,7,0.781,0
Madagascar,Africa,62844,226.947,1410,5.092,0,1335,4.821,28,0.101,0
Guyana,Americas,62465,7941.624,564,71.705,105,1202,152.819,14,1.78,3
French Polynesia,Western Pacific,60716,21614.194,6863,2443.149,2456,637,226.765,0,0,0
Sudan,Eastern Mediterranean,59939,136.693,293,0.668,0,3821,8.714,50,0.114,0
Mauritania,Africa,58584,1259.964,42,0.903,0,973,20.926,2,0.043,0
